iter	Accuracy	Logloss
0	0.8866666667	0.6132959808
1	0.8866666667	0.5533312126
2	0.8906666667	0.4909398298
3	0.8906666667	0.442129824
4	0.9	0.4030496096
5	0.908	0.3663023984
6	0.912	0.3427861427
7	0.908	0.3223715782
8	0.9106666667	0.3047031384
9	0.912	0.293309352
10	0.9146666667	0.2788925547
11	0.9173333333	0.2695431864
12	0.9186666667	0.2588801569
13	0.9186666667	0.2504723106
14	0.9213333333	0.2363123537
15	0.9213333333	0.2312247917
16	0.92	0.2245710208
17	0.9213333333	0.216597297
18	0.9213333333	0.2117881177
19	0.9213333333	0.209513268
20	0.9266666667	0.2057688897
21	0.928	0.2021373821
22	0.9293333333	0.2013370313
23	0.9306666667	0.1958915339
24	0.932	0.1927212576
25	0.9333333333	0.1884577462
26	0.9333333333	0.1868722091
27	0.9333333333	0.1836278519
28	0.9346666667	0.1787455543
29	0.936	0.1770871601
30	0.9373333333	0.1747708939
31	0.9373333333	0.1741824777
32	0.94	0.1712810434
33	0.9413333333	0.1680984145
34	0.944	0.1656265017
35	0.9493333333	0.1619563783
36	0.948	0.1580797689
37	0.948	0.1567156717
38	0.948	0.1557843376
39	0.9493333333	0.1535302094
40	0.9506666667	0.1520477748
41	0.9506666667	0.1489629921
42	0.9506666667	0.1453629913
43	0.9533333333	0.1440334266
44	0.9533333333	0.1429138188
45	0.9546666667	0.1423871968
46	0.9546666667	0.1407339316
47	0.956	0.1393241959
48	0.956	0.1391034242
49	0.96	0.1353295268
50	0.9613333333	0.1334456296
51	0.9626666667	0.1309381005
52	0.9626666667	0.1308906896
53	0.9626666667	0.1298214834
54	0.9626666667	0.1283352588
55	0.9626666667	0.1273307588
56	0.9666666667	0.1246988728
57	0.9666666667	0.1228481511
58	0.9666666667	0.122390137
59	0.968	0.1203944662
60	0.9693333333	0.1194408394
61	0.972	0.1166679737
62	0.972	0.1163404565
63	0.9733333333	0.1147758307
64	0.9746666667	0.1141935184
65	0.976	0.1114826931
66	0.976	0.1094753134
67	0.976	0.1085974325
68	0.976	0.1077225374
69	0.976	0.1064278702
70	0.976	0.1057184115
71	0.976	0.1045304681
72	0.976	0.103296655
73	0.976	0.1027071323
74	0.9773333333	0.1015357596
75	0.9773333333	0.1006076639
76	0.9773333333	0.0977170356
77	0.9773333333	0.0969708625
78	0.9773333333	0.09627153846
79	0.976	0.09533104272
80	0.9773333333	0.09389091484
81	0.976	0.09300903117
82	0.9786666667	0.09148897332
83	0.9786666667	0.09133994526
84	0.9786666667	0.09079511121
85	0.98	0.08914201296
86	0.9786666667	0.08809400065
87	0.9786666667	0.08764659975
88	0.98	0.08598442488
89	0.98	0.08559690776
90	0.98	0.08542796304
91	0.98	0.08500812108
92	0.98	0.08413991734
93	0.98	0.08374638703
94	0.98	0.08322715903
95	0.9813333333	0.08158181423
96	0.9813333333	0.08073876651
97	0.9813333333	0.0801416923
98	0.9813333333	0.07997163041
99	0.9813333333	0.07903624767
100	0.9813333333	0.07795983761
101	0.9813333333	0.07678089845
102	0.9813333333	0.07509709475
103	0.9826666667	0.0739250901
104	0.9813333333	0.07316301962
105	0.9826666667	0.07273585653
106	0.9826666667	0.07216126315
107	0.9826666667	0.07160130528
108	0.9826666667	0.07147035152
109	0.984	0.07095534757
110	0.984	0.06925206526
111	0.984	0.06785272843
112	0.984	0.06731426644
113	0.984	0.06663473709
114	0.984	0.06552365995
115	0.9853333333	0.06459334141
116	0.9853333333	0.06429882998
117	0.9853333333	0.06415409684
118	0.9853333333	0.06283412814
119	0.9853333333	0.06222287957
120	0.9853333333	0.06131788882
121	0.988	0.06107953121
122	0.988	0.06053438986
123	0.988	0.05935852531
124	0.988	0.05887009662
125	0.988	0.05863319212
126	0.988	0.05812217045
127	0.988	0.05743887244
128	0.988	0.05728911593
129	0.988	0.05709883928
130	0.988	0.05682490197
131	0.9893333333	0.05582223507
132	0.9893333333	0.05535427484
133	0.9893333333	0.055239668
134	0.9893333333	0.05408579155
135	0.9893333333	0.05362350648
136	0.9893333333	0.05299325085
137	0.9893333333	0.05275148868
138	0.9893333333	0.05223978593
139	0.9893333333	0.05173832039
140	0.9893333333	0.05004626807
141	0.9906666667	0.04928419016
142	0.9906666667	0.04880604693
143	0.9906666667	0.04839288278
144	0.9906666667	0.0482048186
145	0.9906666667	0.04786549531
146	0.992	0.04769916969
147	0.992	0.04762928111
148	0.992	0.04758015158
149	0.992	0.04751786644
150	0.992	0.04738518223
151	0.992	0.04713565282
152	0.992	0.04683893995
153	0.992	0.04678486578
154	0.992	0.04600774663
155	0.9906666667	0.04562746837
156	0.992	0.0445565409
157	0.992	0.04450699836
158	0.992	0.04409793052
159	0.9933333333	0.04381195487
160	0.9933333333	0.04358041722
161	0.9933333333	0.04332305138
162	0.9933333333	0.04318084495
163	0.9933333333	0.0427440517
164	0.9933333333	0.04230051432
165	0.9933333333	0.04208165101
166	0.9933333333	0.04164913707
167	0.9933333333	0.04155930436
168	0.9933333333	0.04140343076
169	0.9933333333	0.04089682499
170	0.9933333333	0.04083471175
171	0.9933333333	0.04026782113
172	0.9933333333	0.03987763893
173	0.9946666667	0.03934647338
174	0.9946666667	0.03886251607
175	0.9946666667	0.03870047287
176	0.9946666667	0.03817260656
177	0.9946666667	0.03766813136
178	0.9946666667	0.03749995807
179	0.9946666667	0.03669298525
180	0.9946666667	0.03646850325
181	0.9946666667	0.03636960405
182	0.9946666667	0.03599387892
183	0.9946666667	0.03536483669
184	0.9946666667	0.03513014013
185	0.9946666667	0.03470061601
186	0.9946666667	0.03458214104
187	0.9946666667	0.03443158492
188	0.9946666667	0.03409605427
189	0.9946666667	0.03382831893
190	0.9946666667	0.033710957
191	0.9946666667	0.03352146892
192	0.9946666667	0.03319938065
193	0.996	0.0325124255
194	0.996	0.03233139536
195	0.996	0.03215650558
196	0.996	0.03209583764
197	0.996	0.03202982396
198	0.996	0.03172482027
199	0.996	0.03156907069
200	0.996	0.03139662021
