iter	Passed	Remaining
0	56	28234
1	59	14879
2	62	10401
3	64	8059
4	70	6956
5	75	6244
6	80	5676
7	85	5264
8	90	4940
9	96	4725
10	101	4531
11	106	4345
12	112	4232
13	119	4152
14	125	4041
15	128	3883
16	133	3806
17	140	3758
18	146	3697
19	152	3654
20	158	3613
21	161	3517
22	163	3399
23	169	3357
24	175	3335
25	180	3295
26	183	3213
27	188	3183
28	194	3162
29	200	3137
30	205	3109
31	207	3036
32	214	3033
33	221	3029
34	226	3014
35	233	3004
36	238	2986
37	246	2992
38	250	2958
39	254	2929
40	260	2921
41	266	2902
42	271	2882
43	277	2872
44	280	2838
45	285	2815
46	290	2804
47	295	2786
48	297	2739
49	303	2729
50	309	2724
51	315	2716
52	319	2697
53	325	2686
54	331	2684
55	338	2685
56	345	2683
57	352	2682
58	356	2665
59	362	2661
60	369	2660
61	375	2652
62	382	2654
63	387	2638
64	392	2623
65	398	2619
66	405	2621
67	412	2619
68	417	2608
69	423	2601
70	429	2592
71	436	2591
72	442	2588
73	447	2575
74	453	2570
75	460	2567
76	465	2557
77	471	2549
78	477	2543
79	483	2536
80	490	2537
81	496	2530
82	502	2524
83	506	2507
84	513	2508
85	519	2500
86	524	2490
87	530	2485
88	538	2487
89	545	2487
90	555	2496
91	564	2502
92	571	2499
93	578	2498
94	585	2495
95	592	2492
96	598	2486
97	604	2480
98	612	2479
99	618	2474
100	625	2472
101	631	2463
102	637	2455
103	643	2449
104	648	2439
105	654	2433
106	660	2427
107	667	2423
108	674	2420
109	682	2420
110	689	2414
111	694	2406
112	700	2399
113	706	2391
114	712	2385
115	719	2381
116	728	2385
117	734	2377
118	741	2374
119	747	2366
120	751	2355
121	758	2350
122	764	2342
123	770	2336
124	775	2327
125	782	2321
126	787	2312
127	793	2306
128	799	2298
129	804	2291
130	810	2283
131	816	2275
132	821	2266
133	826	2257
134	832	2249
135	839	2247
136	845	2239
137	850	2231
138	856	2224
139	862	2217
140	868	2211
141	875	2207
142	881	2201
143	889	2198
144	895	2193
145	901	2185
146	908	2181
147	916	2180
148	922	2173
149	929	2168
150	936	2164
151	941	2156
152	949	2152
153	955	2146
154	963	2144
155	970	2139
156	976	2132
157	983	2127
158	990	2123
159	995	2116
160	1002	2109
161	1008	2103
162	1014	2098
163	1020	2090
164	1024	2081
165	1031	2075
166	1037	2069
167	1043	2061
168	1049	2056
169	1056	2050
170	1062	2043
171	1068	2037
172	1074	2030
173	1080	2024
174	1086	2017
175	1092	2011
176	1098	2004
177	1103	1996
178	1112	1994
179	1119	1990
180	1127	1986
181	1133	1981
182	1140	1974
183	1146	1969
184	1154	1966
